"Click Date","Install Date","Device Id","Device Name",MAC,IDFV,IDFV_OLD,IDFV_NEW,IDFA,IDFA_OLD,IDFA_NEW,GDID,"Sub Publisher",Country,IP,"Glispa Click ID"
"2016-11-04 14:31:06","2016-11-04 14:33:22",9B4FC624-6D87-4A3B-A88D-ABCEC7927DAA,"iPad2,5",02:00:00:00:00:00,0C6C3F03-6B3A-4119-AF83-1EC4C5C974C7,D0F3A633-ECD5-43D8-AD63-FC3AA39B6721,0C6C3F03-6B3A-4119-AF83-1EC4C5C974C7,9B4FC624-6D87-4A3B-A88D-ABCEC7927DAA,BD07713B-E2E3-4A7C-8A9E-A9D2EF3BA5E1,9B4FC624-6D87-4A3B-A88D-ABCEC7927DAA,5923699695,CD31341,RU,95.104.227.125,CD31341p59774___2119552___2185832___3513961808120180___A01033-59774___4603
"2016-11-04 14:43:22","2016-11-04 14:45:30",6D3BDC83-8949-4520-93D6-F8CA2B48BBDE,"iPhone6,2",02:00:00:00:00:00,3DDA5F73-FE3A-4C74-BB44-641ADF8C28C1,,,6D3BDC83-8949-4520-93D6-F8CA2B48BBDE,,,3711148850,CD31341,RU,146.158.87.10,CD31341p59774___2119552___2185832___0477183405425787___A01033-59774___4603
"2016-11-04 14:45:31","2016-11-04 14:47:40",E69B69A2-7E60-4A79-A77B-E41953C1F7A3,"iPad2,5",02:00:00:00:00:00,B37E4C9C-CAE3-49D3-8678-A7E40A7B67B2,0C6C3F03-6B3A-4119-AF83-1EC4C5C974C7,B37E4C9C-CAE3-49D3-8678-A7E40A7B67B2,E69B69A2-7E60-4A79-A77B-E41953C1F7A3,9B4FC624-6D87-4A3B-A88D-ABCEC7927DAA,E69B69A2-7E60-4A79-A77B-E41953C1F7A3,5923720708,CD31341,RU,95.104.223.9,CD31341p59774___2119552___2185832___2695751631581325___A01033-59774___4603
"2016-11-04 14:51:42","2016-11-04 14:54:40",7A080027-0918-465A-B222-EAF2485F15A2,"iPad2,5",02:00:00:00:00:00,3C42B11A-A70A-428D-89DC-50E60B39D040,,,7A080027-0918-465A-B222-EAF2485F15A2,,,3105470652,CD31341,RU,95.25.76.129,CD31341p59774___2119552___2185832___2142424675130799___A01033-59774___4603
"2016-11-04 14:54:46","2016-11-04 14:56:47",0F1C0688-9CF2-4FE9-BCD7-61A78523A7DB,"iPad2,5",02:00:00:00:00:00,5A9E3FDB-956E-4F79-B2B2-E0BD01A680DE,B37E4C9C-CAE3-49D3-8678-A7E40A7B67B2,5A9E3FDB-956E-4F79-B2B2-E0BD01A680DE,0F1C0688-9CF2-4FE9-BCD7-61A78523A7DB,E69B69A2-7E60-4A79-A77B-E41953C1F7A3,0F1C0688-9CF2-4FE9-BCD7-61A78523A7DB,5923734068,CD31341,RU,95.104.219.16,CD31341p59774___2119552___2185832___2085801960624907___A01033-59774___4603
"2016-11-04 15:06:05","2016-11-04 15:08:07",BFC93EAD-418B-404A-8D99-0617144A077A,"iPad2,5",02:00:00:00:00:00,19B760FD-8613-457A-AB05-3D6F7930603B,5A9E3FDB-956E-4F79-B2B2-E0BD01A680DE,19B760FD-8613-457A-AB05-3D6F7930603B,BFC93EAD-418B-404A-8D99-0617144A077A,0F1C0688-9CF2-4FE9-BCD7-61A78523A7DB,BFC93EAD-418B-404A-8D99-0617144A077A,5923750368,CD31341,RU,95.104.215.130,CD31341p59774___2119552___2185832___7514764711985208___A01033-59774___4603
"2016-11-04 15:17:14","2016-11-04 15:19:23",389336CD-49C6-49D2-8C9E-DF1392429229,"iPad2,5",02:00:00:00:00:00,2166EBDF-C29F-4F4C-A19A-406F8F3FE176,19B760FD-8613-457A-AB05-3D6F7930603B,2166EBDF-C29F-4F4C-A19A-406F8F3FE176,389336CD-49C6-49D2-8C9E-DF1392429229,BFC93EAD-418B-404A-8D99-0617144A077A,389336CD-49C6-49D2-8C9E-DF1392429229,5923766299,CD31341,RU,95.104.211.142,CD31341p59774___2119552___2185832___8511775932827390___A01033-59774___4603
"2016-11-04 15:35:41","2016-11-04 15:38:02",2C364731-0E87-4916-AA6B-1125F43B41E7,"iPhone5,2",02:00:00:00:00:00,EFDE50B7-B482-429A-80D6-35606E4951B7,34CCCF45-8814-4D5A-AC9A-FC8F80F7F384,EFDE50B7-B482-429A-80D6-35606E4951B7,2C364731-0E87-4916-AA6B-1125F43B41E7,EAA23A19-4201-49A5-83B5-415BDFD6577B,2C364731-0E87-4916-AA6B-1125F43B41E7,5923792319,CD31341,RU,109.252.45.226,CD31341p40659___2119552___2185832___1433066428359530___A01033-40659
"2016-10-29 03:02:18","2016-11-04 15:39:43",6A0D5B53-398A-4691-BC11-7D05CFDA4F53,"iPhone4,1",02:00:00:00:00:00,2FAA694A-039E-4654-A624-96FF4C7CC4E4,,,6A0D5B53-398A-4691-BC11-7D05CFDA4F53,,,5923480454,208799b052fe8690feb535cfda6158efcaf1f076,TR,212.76.169.34,
"2016-11-04 15:40:45","2016-11-04 15:43:20",36ACC2AD-396A-40BC-BD77-8B07DA64ABB2,"iPad2,5",02:00:00:00:00:00,BCA2D390-884D-4583-97A2-4EBA4C42121A,2166EBDF-C29F-4F4C-A19A-406F8F3FE176,BCA2D390-884D-4583-97A2-4EBA4C42121A,36ACC2AD-396A-40BC-BD77-8B07DA64ABB2,389336CD-49C6-49D2-8C9E-DF1392429229,36ACC2AD-396A-40BC-BD77-8B07DA64ABB2,5923800007,CD31341,RU,95.104.202.10,CD31341p59774___2119552___2185832___5572495894335271___A01033-59774___4603
