GAID,Timestamp,"Sub Publisher","Sub Publisher 2","Sub Publisher 3","Sub Publisher 4","Sub Publisher 5"
54ee8089-17d8-4b33-96c1-5fc7eef4e8f5,"2016-08-04 05:52:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends eggs"
fae60b02-b48f-4a9e-853a-1962c061e85a,"2016-08-04 05:56:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends"
e5c60fb2-e465-4e21-a39e-1d2885e949b4,"2016-08-04 05:59:09",635118688,,UAC_Search,,
67175496-2fc6-44c9-87a2-3a9b847e94cd,"2016-08-04 06:04:08",635118688,,UAC_Search,,
0fefddf2-eb00-4a47-a561-c743bc1dc64e,"2016-08-04 06:08:07",635118688,,UAC_Search,,
08549053-604b-4d88-afeb-bd8773a7cbad,"2016-08-04 06:16:06","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania indir"
4e4aa3c1-8ef0-433a-be64-ed05354c931d,"2016-08-04 06:23:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
a089a785-bae0-4228-9bc7-55575e4589ca,"2016-08-04 06:31:07","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania"
ef4d4fdf-3843-4dc2-9a0d-75e32ea98a99,"2016-08-04 06:31:07",635118688,,UAC_Search,,
578bdc03-9140-43a6-b0ae-b442a989b6fe,"2016-08-04 06:37:04",635118688,,UAC_Youtube,,
322ed47c-92d9-43c9-a44f-30e2ccd38507,"2016-08-04 06:41:06","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends eggs"
fe918e2b-8501-42cb-888d-f9d4589771e3,"2016-08-04 06:49:03","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
dad4c42a-c3e9-4aa9-9cb2-3a2edf8b7c1e,"2016-08-04 06:52:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania"
2bd9949a-ef3b-4fbe-bb58-bc118bbd74be,"2016-08-04 06:59:08",635118688,,UAC_Youtube,,
fca1a55e-647c-4fc5-b74d-ffe6ebdb530b,"2016-08-04 07:21:09",635118688,,UAC_Search,,
f35b5b61-7465-4dbd-8bc8-e1e99d9681ca,"2016-08-04 07:24:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania legends"
0a8c93c3-7d43-45a0-bc81-cfe786fdb03a,"2016-08-04 07:24:05",635118688,,Other,,
883568e0-0867-491a-97fb-1be9c7550a91,"2016-08-04 07:32:08","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
6aa8e54f-a872-435b-9b7e-db01cf25b317,"2016-08-04 07:40:11",635118688,,UAC_Search,,
e69ac8f4-d79c-4fbf-857d-f2690f8ac29b,"2016-08-04 08:00:05","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,"dragon mania"
e8358e59-17d1-42d7-b04d-8615f87246ad,"2016-08-04 08:00:09","DML_SEARCH_ANDROID_4.4 _US_07.05.16",28151641725,Search,,dragon
