"Sub Publisher",Attributions
15629,4
15658,1
1574,4
15933,14
15934,648
15935,4
15936,93
15937,1
15938,1338
15939,1
15940,22
15942,5
15946,1409
15948,85
15950,83
15953,110
15960,2
15983,1
15994,3
16017,4
16076,7
16100,8
16128,9
16200,3
16201,8
1622,3
16351,123
16405,8
1642,2
16465,9
16538,5
1654,1
166ea81afb1f301aac3f702293003905a5cf67ea,1
16966,66
17028,11
17085,1240
17217,24
1725,1
17259,31
1730,5
17329,1
17355,1
17362,7
17629,86
17634,1
17671,5
17756,1
1780,3
1781,4
17873,2
17914,88
17939,1
18170,10
18193,8
18213,2
1825,1
18372,2
18391,80
18407,1
1845,4
18462,2
18507,3
18549,6
18598,60
18618,2
18669,1
18670,3
18671,7
18677,11
18695,1
18778,2
18937,4
18964,1
1897,2
18c609fbb0f854ea9b5f0ed0f4f4d7d78fdcc13d,1
19015,3
19092,15
19186,1
19216,1
1924,10
19307,4
1936,1
19537,158
19629,2
19689,1
1969,1
19691,3
19790,1
19907,6
19929a87a193cc3e44748bd9428cadf9,1
19935,19
19967,3
19987,8
1a075718962ab2812ab41f3ba0dba1ff28f4ea48,2
1b49713dc0f4ab762dcbef5ee1e5f79227fd8ad1,2
1c0e710e9b72d9a3b6b69decda8725daa2d010db,1
1c16d116c8266c9dcc479a01bfbab4ae8ef2c2bd,1
1e97aa01cfc7bbb272489a37cc6fe011b38e568d,1
1eae815004d48abacdd0ea30c0e5f3508d72debb,1
1ff14af107e5c41d9e57dc20c344ed0d3a47eac0,1
20083,109
2009,4
200f3cf3decfdd5cb81fa2fbf09a622335c010ec,1
20144,88
2018,4
20180,76
2020,1
20271,5
20300,1
20356,1
20370,1
20446,2
20447,1
20567,54
20581,3
20676,6
20721,451
20834,4
208799b052fe8690feb535cfda6158efcaf1f076,1
20955,104
20956,1
20970,2
21005,1
21008,1
21041,4
21049,3
21117,4173
21120,1
21130,1
21141,3
21147,1
2116,4
21169,83
21196,9
21210,1
21265,1
21415,1
21416,7
21434,1
21478,1
21512,1
21615,1
21624,3
2164a437b327e14c6e83cc337ec5c4bdcd943c8f,1
21732,1
21837,1
22040,8
2208,1
22405,11
22408,1
22422,12
22433,1
22500,1
22532,9
22598,20
22600,1
22612,1
22793,18
22911,19
22912,24
2299993c91685ed46b7dfd91e91e2956a7b2080b,7
22ef5b1b7da8eeed1187d1f7a203d96db4224f19a9e00d4b1ab1a90038a0a3d9ab41d4e650e55b4df195a1ff7414cd117b631bac502d5eee64a6fa3a11f60722906affa60c61d044991d57ed7a71cd9cb4f042f99553998392fee846b07db3e2,1
23143,3
23148,5
23163,1
23183,29
23217,2
23243,1
2327,1
23273,4
23326,11
23374,1
23440,1
23500,287
23511,1
23517,1
23586,11
23679,2
2372,3
23773,1
23829,2
23880,1
23c0f91f4951aaeca78130ba127dc9db,1
24073,1
24134,28
24161,1
24228,18
24446,3
24594,25
24597,1
24734,1
24778,1
24837,1
25033,27
25188,122
25203,29
25210,2
25223,1
25237,1
25251,2
25327,1
25350,1
25380,7
25420,4
25632,1
25652,8
25743,60
25745,1
25747,2
25777,14
26052,14
26076,1
26108,1
26113,14
26169,6
26186,2
26189,4
26248,1
26279,45
26366,1
26422ce6775ff9c4e39f7abd8718949781c8ee9d,1
26507,1
26508,2
26668,1
26686,197
26739,1
26809,5
26814,1
26892,9
27027,6
27031,143
27037,1
27051,2
27058,1
27078,1
27105,2
27206,42
27323,8
273305e42914fb6bc4c6a19b35e6ccfec91e0dc6,1
27645,1
27683,2
276bb989d1dc50ec7b898f774008e673100fcf79,1
27803,2
27893,1
27903,3
27924,1
28016,1
28023,15
28187,9
28282,79
28283,37
28309,5
28349,7
28479,1
28486,10
28487,134
28488,22
28490,29
28491,120
28494,54
28500,1
28545bd745686e69ee1ebfda294119045817af50,1
28566,60
28692,1
28964,1
29043,2
29144,1
29164,2
29170,4
29202,57
29205,13
29245,1
29345,1
29508,1
29552,3
29752,1
29780,3
29785,25
2ab91c3fdcae7823618c33b94d660d412dadc213,3
2f81704b281a7004909c16a61cda294c44cf5e3f,1
2fa9d2bd98af5844ee5f7f06ff7403e2bd6da8c0,1
30005,2
30078,7
30141,6
30160,11
30183,57
30184,112
30193,130
30267,1
30342,8
30371,1
30489,1
30543,1
30576,2
30594,4
30598,22
30730,1
30871,6
30bca902876c21f7cfe8517bbd475db582f8ba14,1
30e56c41c49c1e463b404c869819933541cb355d,1
30f88494aa29da10ef62887009824fa6e85f5447,1
31227,68
31387,1
31433,1
31451,13
31474,1
31475,13
31603,20
31626,1
31712,1
31883,1
31895,276
31938,4
31d61a09487b9447fd6970bbc7c97a6fcc26d98c,1
32020,1
32022,5
32050,5
32160,11
32164,2
32176,1
32322,5
32337,5
32340,2
32341,1
32347,14
32348,40
32350,5
32361,65
32541,4
32684,664
32862,1
32880,1
32ba606587bd117308ad07f56e5da3774246790d,3
33070,1
33162,1
33183,1
33228,1
33355,133
33364,1
33441,1
33478,1
33480,57
33535,1
33564,1
33566,27
33623,65
33666,6
33696,25
3395339f8cbf2b91792d3bd5a38c1d52175f3962,1
34186,6
3432bc1d7ed6f6ac618bec72a9d7be06630df17b,1
34440,1
34542,16
34713,1
34817,3
34844,7
34914,2
34937,1
34953,3
34996,5
34ccfec4482b9b42b7cec9c277650742ffc86015,1
34e1c44ac6caa9c69aa2c08f8363ce9eddc62fa5,1
35016,63
35022,26
35044,1
35059,1
35103,1
35440,4
35449,1
35477,40
35584,14
35734,1
35786,4
35803,277
35877,31
35939,2
36608,1
36614,42
36615,1
36765,5
36827,1
36828,44
36829,263
36832,1
36929,1
37008,1
37012,5
3705cbbde82704fcecdbaa9fed64f0a56d2c8c68,1
37061,6
37070,4
37115,67
37134,32
37432,1
37438,2
37584,81
37767,1
37941,2
37a18a07ba8eebe04ef5b17ad161dc3cec46940e,1
38049,1
38123,3
38186,9
38302,1
38365,3
38379,2
38390,1
38392,6
38399,25
38654,123
38657,21
38660,7
38695,3
38718,1
38909,1
38940,1
39061,3
39225,14
39555,1
39626,128
39674,5
39821,39
39829,1
39905,1
39929,2
39930,1
39950,1
39996,4
39c7c188ad2777c522deecb68b63da77edde3e47,1
3a9dc75fb35bed1f0cd4ff37497543e898b093770e9615358956a71ce909eec9a2602848de6e840a2d595e781bdc9189ffcd752845d10b51d8503a8f55b3e97e5ae1d4202e10ebb50c4113cdda426f0319abc11e0bdedf46c3b51683543fdc08,1
3d832639e05ed7901be0f3b43ddc3869,5
3e941032ca01c0b0a223e40468f54f653c241f36,1
3f0b9544020fbb11d9a9407254558c049571748d,1
3ff4b775f82e8863e8baffc180cea0df6025b397,1
40010,1
40052,1
40209,1
40231,3
40330,1
40435,30
40530,143
40545,1
40582,1
40700,1
40751,1
40891,4
41152,4
41154,7
41199,2
41272,1
41408,3
41446,4
41520,1
41565,168
41566,1
41583,1
41678,1
41702,9
41710,2
41741,2
41765,18
41827,82
41862,1
41901,4
41962,3
42051,4
42063,1
42064,4
42154,1
42390,1
42399,1
42993,393
43019,1
43198,1
43214,3
432160a1243e83c6f90048eb7e00398377251541484e5b3d396716e4c4d1b4b66985af5538aaaa61adce306f121f94a93d87900a4bedad4427095814e92c3ab15a97eef02dde9feeb6c006971141f0b739e79b406047d3a886294d44984787ec,2
43327,1
43415,236
43459,4
43490,364
43515,1
43574,1
43744,4
43747,4
43766,3
43805,2
43959,1
43bded4705a5c483a7ddffe4e031dd3b,1
44011,1
44043,2
44454,3
44575,4
44826,1
44836,1
44854,22
44954,1
44f9c958ac4b526a21092e15afbf718abc477512,3
4504876769-657,1
45159,1
45243,14
45373,1
45390,4
45408,2
45473,1
45ad7dbdeced0fe75268e4ec34d22d8d8b074541,1
46041,1
46310,1
46408,12
46413,1
46620,1
46661,52
46758,6
46795,1
46839,2
46848,1
46920,1
47,1
470b5d02328b7c1d2b2fc582911d2fb3,2
47159,1
47262,1
47370,8
47372,109
47443,4
47603,1
47646,12
47884,1
47899,1
48144,2
48151,6
48152,11
48154,25
48155,2
48194,145
481f3362fa79eb6d33ac76306992f7a5c2b6b03d,1
48277,9
48470,8
48494,1
48625,1
48677,1
48689,9
48774,1
49,1
49002,1
49006,1
49055,1
49085,15
49088,2
49095,1
49096,96
49161,1
49424,1
49469,1
49662,1
49707,4
49746,3
49853,27
49854,2
49955,2
49987,1
49996,6
49998,63
4a46927dc2741e56ef731cc2f46548396f05e2f3,1
4c5dcb5386a4b0e1a9a01c892e64558eff21fc90,1
4ccea77e826958d5b5cd747330aa1c5fe2915f46,1
4d6a682f25902996919a7ba2d8b20044ef5fad5c,1
4de5cff8a2446603299aa0cf5b9dd963df99e99c,1
4e5d8de9ea28745ba08210cbc6480039e6f7aadf,1
4edbb84148aaaf53c3d600f8e425915c0a33f299,1
4f1bbd80354091a202af6d4d91cdf48f2762e33b,1
50042,16
50046b006,2
50046b006d791be34e17e959,2
50048,19
50101,1
50259,4
50272,14
50280,1
50313,1
50318,1
50406,7
50529,1
50557,2
50595,1
50672,8
50675,2203
50676,2
50677,1
50763,1
50776,1
50824,2
50904,11
50f5ddd21,1
51039,71
51050,39
51078,6
51298,2
51362,1
51369,13
51372,2
51676,4
51678,10
51734,1
51737,4
51761,2
51764,7
51816,1
